id,descricao,fonte_formula,unidade_de_medida,meta
1,Número de agendamentos por especialidade,Nº de agendamentos registrados por especialidade,ABSOLUTO,5000
2,N° de consultas médicas realizadas,Nº de consultas médicas realizadas (atendida/concluída),ABSOLUTO,4500
3,N° de consultas não médicas realizadas,Nº de consultas não médicas realizadas (realizada/concluída),ABSOLUTO,1500
4,Percentual de Perda Primária,Agendamento central / Vagas central,PERCENTUAL,5
5,Média % de Aproveitamento de Vagas,(Total de agendados + Encaixes) / Total de vagas,ABSOLUTO,90
6,Índice de absenteísmo em consultas ambulatoriais,Total de faltosos / Total de agendados,PERCENTUAL,10
7,N° de Procedimentos realizados,Nº de procedimentos realizados,ABSOLUTO,3000
8,Faturamento,Valor faturado por produção registrada,FINANCEIRO,500000
9,Taxa de Continuidade do Cuidado no CAPS,(Altas por melhora + usuários em acompanhamento ativo) / Total de usuários acompanhados no período × 100,PERCENTUAL,80
10,Índice de Articulação CAPS-APS,(Nº de ações de matriciamento realizados / Nº de ações de matriciamento pactuadas) x 100,PERCENTUAL,100
11,Custo médio de dieta via oral paciente desospitalizado,Custo Médio de Nutrição por Paciente = Valor total gasto com dietas no mês / Número de pacientes desospitalizados assistidos,FINANCEIRO,45
12,Taxa de Resolutividade dos Processos de Compras e Contratos,Taxa de Resolutividade (%) = (Total de processos fechados / Total de processos em tramitação) x 100,PERCENTUAL,95
13,Atendimentos de Classificação de Risco – Vermelho,Quantidade de atendimentos de acordo com a classificação Vermelho,ABSOLUTO,100
14,Atendimentos de Classificação de Risco – Amarelo,Quantidade de atendimentos de acordo com a classificação amarelo,ABSOLUTO,500
15,Atendimentos de Classificação de Risco – Verde,Quantidade de atendimentos de acordo com a classificação verde,ABSOLUTO,1000
16,Atendimentos de Classificação de Risco – Azul,Quantidade de atendimentos de acordo com a classificação azul,ABSOLUTO,800
17,Atendimentos na Sala de Medicação,Quantidade de atendimentos por paciente,ABSOLUTO,2000
18,Internações Hospitalares,Quantidade de pacientes internados,ABSOLUTO,800
19,Produção de Exames laboratoriais,Exames laboratoriais (quantidade),ABSOLUTO,10000
20,Produção de Raio – X,Raio - X (quantidade),ABSOLUTO,3000
21,Produção de Tomografia,Tomografia (quantidade),ABSOLUTO,1500
22,Produção de Ultrassonografia,Ultrassonografia(quantidade),ABSOLUTO,2500
23,Produção de Ressonancia Magnética,Ressonancia Magnética (quantidade),ABSOLUTO,500
24,Produção de Endoscopia,Endoscopia (quantidade),ABSOLUTO,400
25,Produção de Colonoscopia,Colonoscopia ( quantidade),ABSOLUTO,300
26,Produção de Eletroencefalograma,Eletroencefalograma (quantidade),ABSOLUTO,200
27,Produção de Eletrocardiograma,Eletrocardiograma (quantidade),ABSOLUTO,1500
28,Taxa de Ocupação Operacional de Leitos - GLOBAL,Total de paciente dia / total de leito dia operacional X 100,PERCENTUAL,85
29,Giro de Leito - GLOBAL,Total de saídas (altas + óbitos + transfrências externas + evasões) / nº de leitos operacionais X 100,PERCENTUAL,4
30,Giro de Leito - Enfermaria,Total de paciente dia do setor / total de leito dia operacional por setor X 100,PERCENTUAL,85
31,Giro de Leito - UTI Materna,Total de paciente dia do setor / total de leito dia operacional por setor X 100,PERCENTUAL,85
32,Tempo Médio de Permanência - GLOBAL,Total de paciente dia / total de saídas hospitalares (altas + óbitos + transfrências externas + evasões),TEMPO_DIAS,5
33,Tempo Médio de Permanência – Enfermaria Clinica,Total de paciente dia do setor / total de saídas do setor (altas + óbitos + transferências internas e externas + evasões),TEMPO_DIAS,4
34,Tempo Médio de Permanência – Enfermaria Cirurgica,Total de paciente dia do setor / total de saídas do setor (altas + óbitos + transferências internas e externas + evasões),TEMPO_DIAS,3
35,Tempo Médio de Permanência – UTI Adulto,Total de paciente dia do setor / total de saídas do setor (altas + óbitos + transferências internas e externas + evasões),TEMPO_DIAS,7
36,Tempo Médio de Permanência – UTI Pediatrica,Total de paciente dia do setor / total de saídas do setor (altas + óbitos + transferências internas e externas + evasões),TEMPO_DIAS,6
37,Índice de Intervalo de Substituição de Leitos - Enfermaria Clinica,Taxa de desocupação x média de permanência em dias / taxa de ocupação hospitalar,PERCENTUAL,1
38,Índice de Intervalo de Substituição de Leitos - Enfermaria Cirurgica,Taxa de desocupação x média de permanência em dias / taxa de ocupação hospitalar,PERCENTUAL,1
