descricao,fonte_formula,unidade_de_medida,meta,tipo_indicador,tipo_setor,,,,,,,,,,,
Total de exames realizados,Total de exames realizados,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Exames realizados por tipo de exame,Exames realizados por tipo de exame,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Total Procedimentos Ambulatoriais,Total Procedimentos Ambulatoriais,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Total de Absenteísmo de Consultas Médicas,Total de Absenteísmo de Consultas Médicas,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Total de Absenteísmo de Exames,Total de Absenteísmo de Exames,ABSOLUTO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Faturamento,Faturamento,FINANCEIRO,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Percentual de Perda Primária,Percentual de Perda Primária,PERCENTUAL,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Índice de Satisfação do Usuário,Índice de Satisfação do Usuário,PERCENTUAL,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Taxa Geral de Profissionais Treinados,Taxa Geral de Profissionais Treinados,TAXA,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Taxa de Profissionais Treinados do Administrativo e Apoio,Total de profissionais treinados por categoria / n° total de profissionais desta categoria x 100,TAXA,,AMBULATORIAL,UNIDADE,,,,,,,,,,,TAXA
Taxa de Profissionais Treinados da Enfermagem,Total de profissionais treinados por categoria / n° total de profissionais desta categoria x 100,TAXA,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Taxa de Profissionais Treinados da Fisioterapia,Total de profissionais treinados por categoria / n° total de profissionais desta categoria x 100,TAXA,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Taxa de Profissionais Treinados da Fonoaudiologia,Total de profissionais treinados por categoria / n° total de profissionais desta categoria x 100,TAXA,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Taxa de Profissionais Treinados da Farmácia,Total de profissionais treinados por categoria / n° total de profissionais desta categoria x 100,TAXA,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Taxa de Profissionais Treinados do Serviço Social,Total de profissionais treinados por categoria / n° total de profissionais desta categoria x 100,TAXA,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Taxa de Profissionais Treinados da Medicina,Total de profissionais treinados por categoria / n° total de profissionais desta categoria x 100,TAXA,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Taxa de Profissionais Treinados de Outros Setores,Total de profissionais treinados por categoria / n° total de profissionais desta categoria x 100,TAXA,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
Taxa de Adesão aos Treinamentos,Taxa de Adesão aos Treinamentos,TAXA,,AMBULATORIAL,UNIDADE,,,,,,,,,,,
